danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist,hot_100,cluster
0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,audio_features,4sx6NRwL6Ol3V6m9exwGlQ,spotify:track:4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/tracks/4sx6NRwL6Ol3V6m9exwGlQ,https://api.spotify.com/v1/audio-analysis/4sx6NRwL6Ol3V6m9exwGlQ,145850,4,love again,the kid laroi,1,1
0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,audio_features,0cv6mTbrqr8vxGC31NjKtM,spotify:track:0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/tracks/0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/audio-analysis/0cv6mTbrqr8vxGC31NjKtM,187047,4,everything i love,morgan wallen,1,2
0.566,0.845,8,-3.817,1,0.0265,0.00475,0.000822,0.148,0.698,103.97,audio_features,0cv6mTbrqr8vxGC31NjKtM,spotify:track:0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/tracks/0cv6mTbrqr8vxGC31NjKtM,https://api.spotify.com/v1/audio-analysis/0cv6mTbrqr8vxGC31NjKtM,187047,4,everything i love,morgan wallen,1,2
0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,audio_features,35ovElsgyAtQwYPYnZJECg,spotify:track:35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/tracks/35ovElsgyAtQwYPYnZJECg,https://api.spotify.com/v1/audio-analysis/35ovElsgyAtQwYPYnZJECg,196520,4,lift me up,rihanna,1,1
0.491,0.643,10,-4.309,1,0.0442,0.187,0.0,0.109,0.779,162.469,audio_features,6Um358vY92UBv5DloTRX9L,spotify:track:6Um358vY92UBv5DloTRX9L,https://api.spotify.com/v1/tracks/6Um358vY92UBv5DloTRX9L,https://api.spotify.com/v1/audio-analysis/6Um358vY92UBv5DloTRX9L,169419,4,que vuelvas,carin leon x grupo frontera,1,0
0.595,0.182,1,-21.455,1,0.0379,0.573,0.776,0.112,0.473,130.018,audio_features,1rUobn1Bw1EuARI7F2GWWF,spotify:track:1rUobn1Bw1EuARI7F2GWWF,https://api.spotify.com/v1/tracks/1rUobn1Bw1EuARI7F2GWWF,https://api.spotify.com/v1/audio-analysis/1rUobn1Bw1EuARI7F2GWWF,117838,4,low,sza,1,3
0.493,0.581,10,-6.133,1,0.0327,0.302,0.0,0.169,0.317,138.075,audio_features,25jS5o9ZalzGgOvHUSRi7Y,spotify:track:25jS5o9ZalzGgOvHUSRi7Y,https://api.spotify.com/v1/tracks/25jS5o9ZalzGgOvHUSRi7Y,https://api.spotify.com/v1/audio-analysis/25jS5o9ZalzGgOvHUSRi7Y,224582,4,tennessee orange,megan moroney,1,7
0.599,0.696,2,-6.371,0,0.0366,0.119,0.197,0.123,0.36,92.086,audio_features,6MJDLNyo5eJAMwMYJ16ue1,spotify:track:6MJDLNyo5eJAMwMYJ16ue1,https://api.spotify.com/v1/tracks/6MJDLNyo5eJAMwMYJ16ue1,https://api.spotify.com/v1/audio-analysis/6MJDLNyo5eJAMwMYJ16ue1,121287,4,x si volvemos,karol g x romeo santos,1,7
0.614,0.79,2,-5.716,0,0.163,0.0168,0.00331,0.118,0.684,128.654,audio_features,7dstLFiyNkxcLJVj8q76Ch,spotify:track:7dstLFiyNkxcLJVj8q76Ch,https://api.spotify.com/v1/tracks/7dstLFiyNkxcLJVj8q76Ch,https://api.spotify.com/v1/audio-analysis/7dstLFiyNkxcLJVj8q76Ch,191602,4,bloody mary,lady gaga,1,2
0.588,0.931,6,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,audio_features,2EfXcTSI4wVWTbFg7uKC0R,spotify:track:2EfXcTSI4wVWTbFg7uKC0R,https://api.spotify.com/v1/tracks/2EfXcTSI4wVWTbFg7uKC0R,https://api.spotify.com/v1/audio-analysis/2EfXcTSI4wVWTbFg7uKC0R,219333,4,handle on you,parker mccollum,1,4
